S1,S2,S3,S4,S5,S6,S7,S8,S9
1,6,0.96,1.49,3.16,3.58,1.99,238.40,374.14
1,6,0.91,1.69,3.26,2.91,2.53,238.62,374.16
1,6,0.28,2.31,3.24,3.77,2.35,238.21,374.11
1,6,0.94,1.70,2.84,3.66,1.89,238.28,374.53
1,6,0.12,1.78,3.11,2.90,1.92,238.86,374.06
1,5,0.81,1.75,2.93,3.10,2.06,238.98,374.34
1,6,0.79,2.27,2.90,2.97,2.72,238.36,374.19
1,6,0.23,1.52,3.14,3.72,2.07,238.07,374.65
1,6,0.86,1.70,2.90,3.26,2.03,238.84,374.71
1,7,0.74,1.54,3.29,3.74,2.62,238.28,374.81
1,5,0.41,1.91,3.24,3.42,2.19,238.38,375.00
1,6,0.94,1.98,3.75,3.71,2.52,238.99,374.39
1,8,0.45,1.53,2.97,3.79,2.32,238.12,374.65
1,5,0.23,1.34,2.88,3.62,2.56,238.29,374.39
1,7,0.76,1.99,3.70,3.40,2.08,238.83,374.97
1,7,0.38,2.29,3.61,3.44,2.62,238.41,374.06
1,6,0.45,1.81,3.68,3.60,1.88,238.44,374.77
1,5,0.32,1.69,3.50,2.90,2.31,238.99,374.67
1,5,0.02,1.76,3.20,3.01,1.85,238.84,374.15
1,7,0.05,1.96,3.12,3.05,2.47,238.05,374.13
1,8,0.08,1.62,3.36,3.76,1.87,238.88,374.31
1,6,0.09,1.99,3.70,3.38,2.14,238.53,374.16
1,8,0.29,1.84,3.09,2.98,2.76,238.24,374.48
1,7,0.43,1.63,3.38,3.01,2.06,238.14,374.84
2,9,0.35,1.35,3.52,3.23,2.73,238.58,374.20
2,9,0.24,2.28,3.44,3.25,2.72,238.02,374.58
2,9,0.00,1.49,3.55,3.04,2.10,238.96,374.16
2,10,0.35,1.59,3.07,3.17,2.59,238.55,374.62
2,10,0.99,1.67,2.93,3.50,2.45,238.31,374.66
2,12,0.49,1.35,3.36,3.51,2.75,238.50,374.23
2,12,0.15,2.30,3.35,3.43,2.69,238.98,374.48
2,9,0.84,1.99,2.85,3.28,2.20,238.61,374.94
2,11,0.33,1.80,3.76,2.87,2.55,238.55,374.00
2,11,0.12,1.98,3.75,3.34,1.95,238.65,374.74
2,12,0.49,1.52,3.38,3.76,2.16,239.00,374.14
2,12,0.05,1.55,3.03,3.56,2.68,238.57,374.03
2,11,0.31,1.71,3.39,3.58,2.61,238.47,374.23
2,12,0.03,2.14,2.92,3.76,2.19,238.39,374.47
2,10,0.97,1.63,3.60,3.39,2.15,238.79,374.64
2,10,0.34,1.79,2.99,3.46,2.23,238.81,374.04
2,10,0.34,1.52,3.25,3.63,2.14,238.78,374.37
2,11,0.95,2.18,3.76,3.02,2.15,238.00,374.58
2,11,0.95,1.37,3.69,3.24,2.40,238.68,374.26
2,12,0.12,1.90,3.26,3.25,2.22,238.78,374.68
2,10,0.64,1.85,3.34,3.52,2.78,238.46,374.10
2,11,0.99,1.52,2.89,3.65,2.82,238.66,374.77
3,16,0.01,1.72,3.72,3.30,2.09,238.56,374.40
3,16,0.87,1.76,3.41,3.57,2.44,238.84,374.38
3,14,0.46,1.39,2.98,3.75,2.35,238.42,374.55
3,16,0.58,1.56,3.72,3.08,1.85,238.82,374.81
3,13,0.65,1.79,3.37,3.79,2.68,238.81,374.61
3,13,0.66,1.41,3.12,2.83,2.60,238.83,374.53
3,13,0.89,1.43,3.80,3.08,2.04,238.38,374.55
3,13,0.36,1.94,3.12,3.09,2.43,238.01,374.21
3,16,0.93,1.42,3.21,3.47,2.01,238.29,374.62
3,15,0.68,1.80,3.37,3.30,2.45,238.93,374.15
3,16,0.13,2.27,3.71,3.46,2.04,238.12,374.37
3,16,0.81,1.79,3.04,3.16,2.81,238.74,374.65
3,13,0.97,2.15,3.00,3.76,2.49,238.38,374.56
3,13,0.52,2.26,3.80,3.06,2.75,238.53,374.94
3,15,0.62,2.32,3.52,3.34,2.82,238.81,374.19
3,15,0.28,2.00,3.06,3.35,2.06,238.34,374.70
3,16,0.17,1.37,2.86,3.10,2.19,238.41,374.93
3,15,0.50,2.26,2.96,3.36,2.52,238.87,374.89
3,13,0.40,1.75,3.72,3.13,1.93,238.71,374.08
3,13,0.35,1.76,2.92,3.69,1.89,238.58,374.75
3,14,0.22,2.13,3.66,3.60,2.26,238.27,374.61
3,15,0.88,1.95,3.69,2.96,2.21,238.03,374.91
3,13,0.48,1.67,3.61,3.26,1.92,238.08,374.06
3,16,0.72,2.16,3.29,3.37,2.35,238.27,374.50
3,13,0.53,2.14,3.01,3.37,2.52,238.26,374.62
3,13,0.33,1.84,3.48,2.98,2.24,238.83,374.64
3,16,0.79,1.44,3.65,3.62,2.11,238.49,374.33
3,16,0.26,1.48,3.71,2.89,2.75,238.50,374.96
3,13,0.72,1.96,3.80,3.66,1.99,238.79,374.67
3,15,0.81,2.23,3.67,3.24,1.90,238.70,374.33
3,14,0.04,2.14,3.57,3.54,2.36,238.63,374.49
3,15,0.02,1.40,3.40,3.48,2.81,238.01,374.37
3,13,0.87,1.35,2.83,3.03,2.04,238.81,374.69
3,16,0.70,1.62,3.49,3.77,2.54,238.16,374.76
3,15,0.14,2.09,3.04,3.18,1.87,238.92,374.56
3,13,0.33,1.51,3.05,3.51,2.65,238.44,374.39
